Symbol,Buy/Sell,Entry date,Entry price,Entry RSI,Exit date,Exit price,Exit RSI,Holding trading period,Capital needed,Profit/loss,Exit reason
HINDZINC,Sell,11-Aug-26,603.5,70.7,14-Aug-26,567.29,51.9,3,147858*1,44357,first_target
NATIONALUM,Sell,12-Aug-26,418.1,77.2,14-Aug-26,393.01,61.8,2,156788*1,47036,first_target
KEI,Sell,11-Aug-26,5632.0,70.3,17-Aug-26,5857.28,73.0,4,197120*2,-78848,stop_loss
INOXWIND,Buy,10-Aug-26,73.5,33.2,17-Aug-26,77.91,49.2,5,94080*1,28224,first_target
APLAPOLLO,Sell,10-Aug-26,2020.0,70.7,18-Aug-26,2100.8,74.5,6,141400*2,-56560,stop_loss
COFORGE,Sell,10-Aug-26,1810.0,73.9,20-Aug-26,1882.4,72.1,8,171950*2,-68780,stop_loss
LTM,Sell,10-Aug-26,4795.0,72.1,21-Aug-26,4507.3,50.9,9,143850*1,43155,first_target
RECLTD,Buy,12-Aug-26,341.65,34.9,21-Aug-26,327.98,29.9,7,107620*2,-43048,stop_loss
KEI,Sell,17-Aug-26,5873.0,73.2,21-Aug-26,5520.62,53.2,4,205555*1,61667,first_target
JUBLFOOD,Sell,10-Aug-26,482.7,70.4,24-Aug-26,502.01,67.8,10,120675*2,-48270,stop_loss
HINDZINC,Sell,11-Aug-26,610.3,70.7,24-Aug-26,616.4,66.4,9,149524*1,-7476,stop_loss
INOXWIND,Buy,10-Aug-26,74.53,33.2,25-Aug-26,73.78,38.2,11,95398*1,-4770,stop_loss
PAYTM,Sell,11-Aug-26,1631.7,84.0,25-Aug-26,1696.97,74.7,10,236596*2,-94639,stop_loss
