Symbol,Buy/Sell,Entry date,Entry price,Entry RSI,Exit date,Exit price,Exit RSI,Holding trading period,Capital needed,Profit/loss,Exit reason
LUPIN,Buy,01-Sep-26,2180.0,33.2,03-Sep-26,2171.0,,2,185300*2,-7650,stop_loss
SBILIFE,Buy,02-Sep-26,1757.0,39.0,03-Sep-26,1740.0,,1,131775*2,-12750,stop_loss
ICICIGI,Buy,03-Sep-26,1529.0,27.1,04-Sep-26,1532.0,,1,99385*2,1950,stop_loss
COLPAL,Buy,28-Aug-26,1849.7,28.4,07-Sep-26,1831.6,,6,101734*2,-9955,stop_loss
ASIANPAINT,Buy,02-Sep-26,2563.0,33.6,07-Sep-26,2529.0,,3,128150*2,-17000,stop_loss
DABUR,Buy,02-Sep-26,381.5,25.1,07-Sep-26,378.65,,3,95375*2,-7125,stop_loss
BOSCHLTD,Sell,19-Aug-26,48910.0,81.4,02-Sep-26,46464.5,,10,244550*1,61138,first_target
MOTHERSON,Sell,19-Aug-26,172.35,74.0,01-Sep-26,163.73,,9,211990*1,53013,first_target
RADICO,Sell,19-Aug-26,4699.6,73.7,01-Sep-26,4464.62,,9,140988*1,35247,first_target
PNBHOUSING,Sell,20-Aug-26,1192.6,69.0,02-Sep-26,1132.97,,9,155038*1,38759,first_target
SONACOMS,Sell,20-Aug-26,826.4,72.1,02-Sep-26,785.08,,9,202468*1,50617,first_target
JUBLFOOD,Sell,26-Aug-26,497.3,58.3,07-Sep-26,475.2,,8,124325*1,27625,first_target
PAYTM,Sell,27-Aug-26,1716.8,76.5,31-Aug-26,1630.96,,2,248936*1,62234,first_target
SAIL,Sell,31-Aug-26,199.0,74.5,07-Sep-26,189.05,,5,187060*1,46765,first_target
TATAPOWER,Buy,31-Aug-26,352.5,22.8,03-Sep-26,370.12,,3,102225*1,25549,first_target
INOXWIND,Buy,01-Sep-26,70.2,31.4,03-Sep-26,73.71,,2,89856*1,22464,first_target
UNOMINDA,Sell,01-Sep-26,1275.0,63.4,07-Sep-26,1223.33,,4,140250*1,28419,first_target
ATHERENERG,Sell,02-Sep-26,1661.0,69.0,04-Sep-26,1577.95,,2,124575*1,31144,first_target
PIIND,Buy,02-Sep-26,2377.8,30.6,04-Sep-26,2496.69,,2,83223*1,20806,first_target
IDEA,Sell,26-Aug-26,15.24,72.7,31-Aug-26,14.48,,3,217856*1,54321,first_target
ASHOKLEY,Sell,10-Aug-26,174.0,65.1,26-Aug-26,179.0,,12,174000*2,-50000,stop_loss
BHARATFORG,Sell,10-Aug-26,2093.1,42.6,31-Aug-26,2090.72,,15,209310*1,1191,first_target
BHARATFORG,Sell,10-Aug-26,2093.1,42.6,02-Sep-26,2012.34,,17,209310*1,40381,second_target
HINDZINC,Sell,10-Aug-26,595.15,73.2,14-Aug-26,565.39,,4,145812*1,36453,first_target
HINDZINC,Sell,10-Aug-26,595.15,73.2,14-Aug-26,571.84,,4,145812*1,28561,second_target
